Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
390,"6.599","-0.2231","-0.5621","10.0443","200.2052",
391,"6.6","0.0654","-0.8075","10.2897","200.2254",
392,"6.652","-1.4633","-0.1922","10.0443","200.2238",
393,"6.655","-0.6995","-0.3813","9.83","200.2271",
394,"6.66","0.2905","-1.1499","9.8503","200.2303",
395,"6.665","0.324","-1.7209","9.9712","200.2336",
396,"6.701","-0.2566","-0.2533","10.0897","200.2223",
397,"6.751","-0.9928","-0.9476","9.4804","200.2207",
398,"6.803","-0.1908","-0.9548","9.7246","200.2191",
399,"6.805","-0.5008","-0.5118","9.7139","200.2224",
400,"6.81","-0.3021","-1.169","10.2717","200.2256",
401,"6.814","-0.5176","-0.871","9.8096","200.2288",
402,"6.851","0.0056","-0.7572","9.824","200.2176",
403,"6.899","-0.2937","-1.0457","9.891","200.2128",
404,"6.901","-0.4493","-0.7285","9.9736","200.216",
405,"6.945","-0.1488","-0.7932","10.2095","200.2281",
406,"6.95","0.1085","-0.5465","9.5367","200.2314",
407,"6.992","-0.253","-0.8757","10.3543","200.2065",
408,"6.994","-0.2015","-0.5717","9.7115","200.2266",
409,"7","-0.1752","-0.5322","9.6289","200.2298",
410,"7.049","-1.091","0.052","9.2709","200.2082",
411,"7.051","-1.51","-0.6387","10.5363","200.2114",
412,"7.098","0.318","-0.9081","10.2454","200.2066",
413,"7.1","-0.35","-1.3139","9.9784","200.2267",
414,"7.158","-0.405","-1.5066","10.4884","200.2115",
415,"7.16","-0.0112","-1.5497","9.6265","200.2315",
416,"7.164","-0.0256","-1.3259","9.7246","200.2179",
417,"7.169","-0.35","-0.4005","10.0419","200.2211",
418,"7.212","-0.6816","-0.173","9.3906","200.2132",
419,"7.215","-0.7091","-0.5418","10.1173","200.2164",
420,"7.22","0.1109","-0.592","9.7593","200.2196",
421,"7.269","-0.0327","-1.0254","9.3236","200.218",
422,"7.275","-0.2985","-0.8805","10.9133","200.2212",
423,"7.279","-0.3799","-0.6986","10.2298","200.2244",
424,"7.284","0.1839","-0.8015","9.3188","200.2276",
425,"7.319","-0.2518","-0.8195","9.8467","200.2133",
426,"7.32","-0.8887","-0.5693","10.4118","200.2165",
427,"7.371","0.1313","-0.5489","9.4924","200.215",
428,"7.374","-0.3775","-1.2492","10.5973","200.2181",
429,"7.379","-0.7318","-0.6303","8.9824","200.2213",
430,"7.384","-1.5351","-0.9021","10.3818","200.2245",
431,"7.421","-0.5714","-0.7357","9.8396","200.2134",
432,"7.424","-0.7294","-1.0948","9.5905","200.2166",
433,"7.43","-0.2913","-1.3618","10.1113","200.2198",
434,"7.434","0.3515","-0.9643","9.6779","200.223",
435,"7.476","0.6364","-1.2983","10.006","200.2151",
436,"7.479","0.4677","-0.8123","9.982","200.2182",
437,"7.484","-0.3081","-0.592","9.7414","200.2215",
438,"7.524","-0.265","-0.2018","9.3104","200.2302",
439,"7.529","-0.2961","-0.1683","9.8671","200.2334",
440,"7.534","-0.5846","-0.0665","9.891","200.2199",
441,"7.578","-0.7929","-1.017","9.5056","200.212",
442,"7.579","-1.0754","-0.6244","9.8599","200.2152",
443,"7.584","-0.4553","-0.1288","9.9473","200.2184",
444,"7.627","0.2965","-1.5916","9.3583","200.2105",
445,"7.629","-0.5211","-0.373","9.4361","200.2303",
446,"7.634","-1.1185","-0.4544","10.6404","200.2335",
447,"7.677","-0.1692","-1.1834","9.8455","200.2089",
448,"7.679","-1.0144","-0.7788","9.4804","200.2288",
449,"7.685","-1.0227","-1.2301","10.4201","200.2153",
450,"7.734","0.0738","-0.7117","10.1029","200.2304",
451,"7.79","-0.9449","-1.0769","10.0718","200.2154",
452,"7.794","0.2929","-1.8394","10.1831","200.2186",
453,"7.799","0.834","-1.3199","9.4481","200.2218",
454,"7.839","0.804","-1.4803","11.1851","200.2305",
455,"7.844","0.1349","-1.2157","8.8148","200.2171",
456,"7.848","-0.7893","-0.2018","9.478","200.2202",
457,"7.853","-1.4729","-0.282","10.6009","200.2234",
458,"7.894","-0.5415","-0.7345","9.5427","200.2155",
459,"7.898","-0.3105","-1.005","9.7486","200.2187",
460,"7.951","0.6329","-0.8267","10.067","200.2172",
461,"7.954","-0.0878","-0.5633","10.1484","200.2203",
462,"8.011","-0.4649","-0.5406","10.0395","200.222",
463,"8.013","-0.0663","-0.7369","9.1787","200.2251",
464,"8.019","0.0666","-0.8075","10.3746","200.2283",
465,"8.06","-0.2494","-0.7584","9.5894","200.2204",
466,"8.064","-0.5882","-0.5094","9.7534","200.2236",
467,"8.069","-0.9832","-0.6208","9.9233","200.2267",
468,"8.123","0.1636","-0.9907","10.213","200.2284",
